term,search_form,discovery_channel,priority,confidence_hint,notes
青学,#青学,hashtag,high,A,"正式表記の短縮語"
青山学院,#青山学院,hashtag,high,A,"大学名の一部"
青山学院大学,#青山学院大学,hashtag,high,A,"大学名の完全表記"
青学サークル,#青学サークル,hashtag,high,A,"サークル探索"
青学祭,#青学祭,hashtag,high,A,"学園祭・イベント探索"
青山祭,#青山祭,hashtag,medium,B,"イベント名は投稿根拠を確認"
AGU,#AGU,hashtag,high,B,"略称。単独利用は根拠を追加"
Aoyama Gakuin,#AoyamaGakuin,hashtag,high,A,"英語表記"
Aoyama Gakuin University,#AoyamaGakuinUniversity,hashtag,high,A,"英語正式表記"
青山キャンパス,#青山キャンパス,hashtag,medium,B,"キャンパス表記。青学関連根拠を追加"
青学OB,#青学OB,hashtag,medium,A,"卒業生表記"
青学OG,#青学OG,hashtag,medium,A,"卒業生表記"
青学テニス,#青学テニス,hashtag,medium,A,"部活・サークル周辺"
青学ダンス,#青学ダンス,hashtag,medium,A,"部活・サークル周辺"
青学野球,#青学野球,hashtag,medium,A,"部活・サークル周辺"
青学ラグビー,#青学ラグビー,hashtag,medium,A,"部活・サークル周辺"
青学軽音,#青学軽音,hashtag,medium,A,"部活・サークル周辺"
青学インカレ,#青学インカレ,hashtag,medium,B,"青学との関係を投稿で確認"
青学,"青学",keyword_search,high,A,"表示名・プロフィール検索"
青山学院,"青山学院",keyword_search,high,A,"表示名・プロフィール検索"
AGU,AGU,keyword_search,medium,B,"単独では曖昧。プロフィールと投稿を確認"
Aoyama Gakuin,"Aoyama Gakuin",keyword_search,high,A,"英語プロフィール検索"
青学サークル,"青学 サークル",keyword_search,high,A,"サークル公式・個人プロフィール"
青学OB/OG,"青学 OB OG",keyword_search,medium,A,"卒業生プロフィール"
青山,青山,keyword_search,low,C,"単独では曖昧。青学根拠がなければDM対象外"
表参道,表参道,keyword_search,low,C,"地域だけでは青学と判断しない"
