priority,instagram_username,profile_url,display_name,follower_count,account_type,why_this_partner,proposal_angle,ref_code,status
1,agu_info,https://www.instagram.com/agu_info/,青学情報局,6452,student_media,現役青学生による学生向けメディアで到達範囲が広い,招待制パイロットの先行案内と安全設計の紹介,agu-info,ready
2,fra_ao_,https://www.instagram.com/fra_ao_/,難攻不落の青学生,6174,student_media,青学生の日常を扱うテーマがset-mobと近い,土曜の過ごし方を起点にした参加体験の取材・紹介,fra-ao,ready
3,aoyama.hack,https://www.instagram.com/aoyama.hack/,青山ハック,5894,student_media,現役青学生運営の非公式メディア,後期開始に合わせた初期100人企画の掲載相談,aoyama-hack,ready
4,aogaku_tencha,https://www.instagram.com/aogaku_tencha/,青学tencha 春から青学 情報,3987,student_media,サークル・学生生活情報の発信実績がある,団体横断で参加者を紹介してもらうパートナー提案,aogaku-tencha,ready
5,aoyamasports,https://www.instagram.com/aoyamasports/,青山スポーツ,3282,student_media,体育会学生へ届く学生メディア,競技外の交流機会として安全設計を中心に紹介,aoyama-sports,ready
6,aogaku.magazine,https://www.instagram.com/aogaku.magazine/,青学マガジン,3019,student_media,青学生向け情報の発信アカウント,後期開始時のストーリー掲載とQR配布相談,aogaku-magazine,ready
7,aogaku_caps,https://www.instagram.com/aogaku_caps/,青山学院大学キャップス,2881,student_media,青学生向けメディアとして新入生層にも強い,友人目的でも参加できる点を中心に掲載相談,aogaku-caps,ready
8,aogaku__for_fresh,https://www.instagram.com/aogaku__for_fresh/,青山学院大学 新入生特化メディア,2761,student_media,新入生の友人づくり需要と親和性が高い,友人目的・18歳以上限定の招待枠案内,aogaku-for-fresh,ready
9,agtimes_agu,https://www.instagram.com/agtimes_agu/,AGTimes,2570,student_media,青学生向け情報メディア,初回パイロットの募集と匿名振り返り記事の相談,agtimes-agu,ready
10,aoyama_afa,https://www.instagram.com/aoyama_afa/,AOYAMA FASHION ASSOCIATION,1992,student_media,学生コミュニティとして発信力がある,興味関心の異なる学生同士の一日共有という切り口,aoyama-afa,ready
11,aoyama_collection,https://www.instagram.com/aoyama_collection/,Aoyama Collection,2052,event,青山祭関連の学生イベントとして認知がある,イベント参加者向けの友人・恋愛どちらでも枠の紹介,aoyama-collection,ready
12,sagasai_aogaku,https://www.instagram.com/sagasai_aogaku/,相模原祭,1757,event,相模原キャンパス学生への到達が期待できる,キャンパス偏りを避ける相模原枠の掲載相談,sagamihara-fes,ready
13,savor.youth,https://www.instagram.com/savor.youth/,Savor Youth,574,community,国際学生コミュニティで新しいつながりの需要がある,友人目的と希望条件の相互一致を中心に案内,savor-youth,ready
14,agu_ess,https://www.instagram.com/agu_ess/,青山学院大学 E.S.S.,2308,circle_official,大規模公認部活で学年横断の学生へ届く,団体内共有用の5人招待枠と専用URL,agu-ess,ready
15,uluwehi_agu_hula,https://www.instagram.com/uluwehi_agu_hula/,Uluwehi,2120,circle_official,公認団体でコミュニティ運営実績がある,メンバー向けの招待制友人・恋愛選択型企画,uluwehi,ready
16,shanti_agu,https://www.instagram.com/shanti_agu/,SHANTI SHANTI,2082,circle_official,国際ボランティア団体で交流企画と相性がよい,友人目的を含む安心な交流機会として相談,shanti,ready
17,aogakuramen,https://www.instagram.com/aogakuramen/,青学ラーメン愛好会,2052,circle_official,約170名の趣味コミュニティで紹介母数がある,趣味を越えた土曜の過ごし方共有として5枠提案,aogaku-ramen,ready
18,eric_seminar,https://www.instagram.com/eric_seminar/,青山学院大学エリックゼミ,1903,circle_official,ゼミ活動の発信力と学生コミュニティがある,少人数パイロットへの協力とフィードバック依頼,eric-seminar,ready
19,agu_chatters,https://www.instagram.com/agu_chatters/,Chatters,1653,circle_official,学生団体として継続発信している,メンバー5人向け紹介枠と安全ガイドの共有,agu-chatters,ready
20,agu_palan_insta,https://www.instagram.com/agu_palan_insta/,PALAN,1625,circle_official,公認K-POP団体で学生への到達力がある,友人目的も選べる招待制パイロット,palan,ready
21,aoyama.photo.club,https://www.instagram.com/aoyama.photo.club/,青山学院大学写真研究部,1391,circle_official,土曜の過ごし方・写真というテーマと親和性が高い,一日共有の体験価値を中心に5枠提案,aoyama-photo,ready
22,siva_agu,https://www.instagram.com/siva_agu/,SIVA,1387,circle_official,公認ボランティア団体で安全な交流への理解が期待できる,独立運営と安全設計を明記した掲載相談,siva,ready
23,agu_milfolha,https://www.instagram.com/agu_milfolha/,milfolha,1373,circle_official,公認スポーツサークルで学年横断の母数がある,メンバー向け5人招待枠の案内,milfolha,ready
24,agu_woodnotes,https://www.instagram.com/agu_woodnotes/,Woodnotes,1315,circle_official,アウトドアと土曜体験の文脈が近い,普段と違う一日を知る企画として紹介,woodnotes,ready
25,amsrock_2026,https://www.instagram.com/amsrock_2026/,青山ミュージックソサエティ,1280,circle_official,音楽コミュニティで学生同士の紹介に向く,音楽以外の共通点を一日から知る切り口,ams-rock,ready
26,aoyamacuba_2026,https://www.instagram.com/aoyamacuba_2026/,CUBA,1260,circle_official,公認バスケサークルで参加候補の母数がある,初回パイロット5人枠と紹介URL,cuba,ready
27,agu_harpseal,https://www.instagram.com/agu_harpseal/,HARPSEAL,1214,circle_official,体験型コミュニティで一日共有と親和性がある,新しい人の土曜を知る体験として案内,harpseal,ready
28,agugh_chorus,https://www.instagram.com/agugh_chorus/,グリーンハーモニー合唱団,1180,circle_official,公認団体で安定したコミュニティがある,団員向けの招待制5枠と安全案内,green-harmony,ready
29,musicboxsociety,https://www.instagram.com/musicboxsociety/,MBS,887,circle_official,青学のアカペラコミュニティとして学生へ届く,音楽サークル横断の友人・恋愛選択型企画,music-box,ready
30,sonick_aoyama.agu,https://www.instagram.com/sonick_aoyama.agu/,Sonickers国際交流愛好会,836,circle_official,国際交流を目的とする学生団体,友人目的を中心に少人数パイロットを提案,sonickers,ready
